2026-04-09 05:00:43 | cerebras   | qwen-3-235b-a22b-instruct-2507   | in=  391 out=  182 total=   573 | OK | 
2026-04-09 19:03:01 | cerebras   | qwen-3-235b-a22b-instruct-2507   | in=  728 out=  442 total=  1170 | OK | 
2026-04-09 19:06:12 | cerebras   | qwen-3-235b-a22b-instruct-2507   | in=  386 out=  256 total=   642 | OK | 
2026-04-09 19:06:48 | cerebras_qwen | ?                                | in=    0 out=    0 total=     0 | FAIL | 429 Client Error: Too Many Requests for url: https://api.cerebras.ai/v1/chat/com
2026-04-09 19:06:48 | groq_70b   | ?                                | in=    0 out=    0 total=     0 | FAIL | 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/comp
2026-04-09 19:06:50 | cerebras   | llama3.1-8b                      | in=  403 out=  208 total=   611 | OK | 
2026-04-09 19:07:00 | cerebras   | qwen-3-235b-a22b-instruct-2507   | in=  386 out=   58 total=   444 | OK | 
2026-04-09 19:07:04 | cerebras   | qwen-3-235b-a22b-instruct-2507   | in=  728 out=  435 total=  1163 | OK | 
2026-04-09 19:07:09 | cerebras   | qwen-3-235b-a22b-instruct-2507   | in= 2667 out=  800 total=  3467 | OK | 
2026-04-09 19:10:05 | groq_70b   | ?                                | in=    0 out=    0 total=     0 | FAIL | 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/comp
2026-04-09 19:10:06 | cerebras   | qwen-3-235b-a22b-instruct-2507   | in=  982 out=  400 total=  1382 | OK | 
2026-04-09 19:10:09 | groq_70b   | ?                                | in=    0 out=    0 total=     0 | FAIL | 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/comp
2026-04-09 19:10:14 | cerebras   | qwen-3-235b-a22b-instruct-2507   | in=  885 out=  400 total=  1285 | OK | 
2026-04-09 19:10:31 | groq_70b   | ?                                | in=    0 out=    0 total=     0 | FAIL | GROQ_API_KEY not set
2026-04-09 19:10:31 | cerebras_qwen | ?                                | in=    0 out=    0 total=     0 | FAIL | CEREBRAS_API_KEY not set
2026-04-09 19:10:31 | cerebras_8b | ?                                | in=    0 out=    0 total=     0 | FAIL | CEREBRAS_API_KEY not set
2026-04-09 19:10:33 | groq_70b   | ?                                | in=    0 out=    0 total=     0 | FAIL | GROQ_API_KEY not set
2026-04-09 19:10:33 | cerebras_qwen | ?                                | in=    0 out=    0 total=     0 | FAIL | CEREBRAS_API_KEY not set
2026-04-09 19:10:33 | cerebras_8b | ?                                | in=    0 out=    0 total=     0 | FAIL | CEREBRAS_API_KEY not set
2026-04-09 19:10:55 | groq_70b   | ?                                | in=    0 out=    0 total=     0 | FAIL | 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/comp
2026-04-09 19:10:57 | cerebras   | qwen-3-235b-a22b-instruct-2507   | in= 1053 out=  400 total=  1453 | OK | 
2026-04-09 19:11:00 | groq_70b   | ?                                | in=    0 out=    0 total=     0 | FAIL | 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/comp
2026-04-09 19:11:01 | cerebras   | qwen-3-235b-a22b-instruct-2507   | in= 1092 out=  400 total=  1492 | OK | 
